Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:34:46

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
371.0000      	26954.1779    	2609.10010    
372.0000      	26881.7204    	2687.30005    
373.0000      	26809.6515    	2617.10010    
374.0000      	26737.9679    	2628.19995    
375.0000      	26666.6667    	2608.30005    
376.0000      	26595.7447    	2607.80005    
377.0000      	26525.1989    	2633.60010    
378.0000      	26455.0265    	2624.80005    
379.0000      	26385.2243    	2629.30005    
380.0000      	26315.7895    	2725.00000    
381.0000      	26246.7192    	2858.60010    
382.0000      	26178.0105    	2650.30005    
383.0000      	26109.6606    	2642.19995    
384.0000      	26041.6667    	2631.39990    
385.0000      	25974.0260    	2670.10010    
386.0000      	25906.7358    	2681.30005    
387.0000      	25839.7933    	3925.50000    
388.0000      	25773.1959    	4079.30005    
389.0000      	25706.9409    	2832.19995    
390.0000      	25641.0256    	2781.50000    
391.0000      	25575.4476    	2667.60010    
392.0000      	25510.2041    	2609.80005    
393.0000      	25445.2926    	2625.30005    
394.0000      	25380.7107    	2637.69995    
395.0000      	25316.4557    	2870.19995    
396.0000      	25252.5253    	2749.10010    
397.0000      	25188.9169    	2654.39990    
398.0000      	25125.6281    	2616.19995    
399.0000      	25062.6566    	2652.89990    
400.0000      	25000.0000    	2695.19995    
401.0000      	24937.6559    	3571.69995    
402.0000      	24875.6219    	3339.50000    
403.0000      	24813.8958    	2754.69995    
404.0000      	24752.4752    	2770.69995    
405.0000      	24691.3580    	2609.80005    
406.0000      	24630.5419    	2620.69995    
407.0000      	24570.0246    	2628.50000    
408.0000      	24509.8039    	2616.80005    
409.0000      	24449.8778    	2608.00000    
410.0000      	24390.2439    	2632.19995    
411.0000      	24330.9002    	3068.50000    
412.0000      	24271.8447    	2768.60010    
413.0000      	24213.0751    	2751.39990    
414.0000      	24154.5894    	2705.80005    
415.0000      	24096.3855    	2623.80005    
416.0000      	24038.4615    	2664.89990    
417.0000      	23980.8153    	2613.30005    
418.0000      	23923.4450    	2615.10010    
419.0000      	23866.3484    	2601.30005    
420.0000      	23809.5238    	2655.60010    
421.0000      	23752.9691    	2606.30005    
422.0000      	23696.6825    	2629.60010    
423.0000      	23640.6619    	2612.60010    
424.0000      	23584.9057    	2621.39990    
425.0000      	23529.4118    	2661.30005    
426.0000      	23474.1784    	2684.00000    
427.0000      	23419.2037    	2702.19995    
428.0000      	23364.4860    	2611.19995    
429.0000      	23310.0233    	2625.89990    
430.0000      	23255.8140    	2617.30005    
