Unit Serial No : SM245-KSP200281-EU
Integration Time : 200 ms
Time Average: 5
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 09/30/2022   15:00:10

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
556.0000      	17985.6115    	3199.80005    
557.0000      	17953.3214    	3298.80005    
558.0000      	17921.1470    	3150.60010    
559.0000      	17889.0877    	3211.00000    
560.0000      	17857.1429    	3164.60010    
561.0000      	17825.3119    	3156.00000    
562.0000      	17793.5943    	3114.19995    
563.0000      	17761.9893    	3140.80005    
564.0000      	17730.4965    	3174.19995    
565.0000      	17699.1150    	3087.60010    
566.0000      	17667.8445    	3110.39990    
567.0000      	17636.6843    	3067.19995    
568.0000      	17605.6338    	3096.00000    
569.0000      	17574.6924    	3077.19995    
570.0000      	17543.8596    	3064.00000    
571.0000      	17513.1349    	3059.00000    
572.0000      	17482.5175    	3055.00000    
573.0000      	17452.0070    	3023.39990    
574.0000      	17421.6028    	3203.39990    
575.0000      	17391.3043    	3063.80005    
576.0000      	17361.1111    	3043.60010    
577.0000      	17331.0225    	3029.19995    
578.0000      	17301.0381    	3018.80005    
579.0000      	17271.1572    	2991.39990    
580.0000      	17241.3793    	2988.19995    
581.0000      	17211.7040    	2966.80005    
582.0000      	17182.1306    	3006.00000    
583.0000      	17152.6587    	3018.80005    
584.0000      	17123.2877    	2972.60010    
585.0000      	17094.0171    	3024.39990    
586.0000      	17064.8464    	3008.39990    
587.0000      	17035.7751    	2988.19995    
588.0000      	17006.8027    	3028.19995    
589.0000      	16977.9287    	3021.00000    
590.0000      	16949.1525    	3034.39990    
591.0000      	16920.4738    	3290.00000    
592.0000      	16891.8919    	3017.60010    
593.0000      	16863.4064    	3089.00000    
594.0000      	16835.0168    	3070.80005    
595.0000      	16806.7227    	3032.60010    
596.0000      	16778.5235    	3032.39990    
597.0000      	16750.4188    	3065.19995    
598.0000      	16722.4080    	3064.00000    
599.0000      	16694.4908    	3060.00000    
600.0000      	16666.6667    	3091.00000    
601.0000      	16638.9351    	3073.19995    
602.0000      	16611.2957    	3096.39990    
603.0000      	16583.7479    	3048.00000    
604.0000      	16556.2914    	3091.39990    
605.0000      	16528.9256    	3084.80005    
606.0000      	16501.6502    	3129.39990    
607.0000      	16474.4646    	3100.19995    
608.0000      	16447.3684    	3135.60010    
609.0000      	16420.3612    	3050.80005    
610.0000      	16393.4426    	3197.60010    
611.0000      	16366.6121    	3103.60010    
612.0000      	16339.8693    	3183.80005    
613.0000      	16313.2137    	3175.00000    
614.0000      	16286.6450    	3164.19995    
615.0000      	16260.1626    	3143.60010    
616.0000      	16233.7662    	3053.60010    
617.0000      	16207.4554    	3049.19995    
618.0000      	16181.2298    	3125.19995    
619.0000      	16155.0889    	3035.00000    
620.0000      	16129.0323    	3021.39990    
621.0000      	16103.0596    	3037.60010    
622.0000      	16077.1704    	3015.39990    
623.0000      	16051.3644    	3043.00000    
624.0000      	16025.6410    	3105.39990    
625.0000      	16000.0000    	3041.60010    
626.0000      	15974.4409    	2983.00000    
627.0000      	15948.9633    	3028.00000    
628.0000      	15923.5669    	2989.00000    
629.0000      	15898.2512    	3077.00000    
630.0000      	15873.0159    	3023.19995    
631.0000      	15847.8605    	3216.60010    
632.0000      	15822.7848    	3271.00000    
633.0000      	15797.7883    	35936.60156   
634.0000      	15772.8707    	48045.00000   
635.0000      	15748.0315    	8962.59961    
636.0000      	15723.2704    	4118.39990    
637.0000      	15698.5871    	3611.80005    
638.0000      	15673.9812    	3355.19995    
639.0000      	15649.4523    	3146.00000    
640.0000      	15625.0000    	3053.00000    
641.0000      	15600.6240    	3082.80005    
642.0000      	15576.3240    	2919.00000    
643.0000      	15552.0995    	2930.39990    
644.0000      	15527.9503    	2850.39990    
645.0000      	15503.8760    	2810.60010    
646.0000      	15479.8762    	2825.00000    
647.0000      	15455.9505    	2848.60010    
648.0000      	15432.0988    	2828.00000    
649.0000      	15408.3205    	2823.39990    
650.0000      	15384.6154    	2810.39990    
651.0000      	15360.9831    	2791.39990    
652.0000      	15337.4233    	2787.80005    
653.0000      	15313.9357    	2796.80005    
654.0000      	15290.5199    	2866.19995    
655.0000      	15267.1756    	2808.19995    
656.0000      	15243.9024    	2781.80005    
657.0000      	15220.7002    	2725.00000    
658.0000      	15197.5684    	2718.60010    
659.0000      	15174.5068    	2767.60010    
660.0000      	15151.5152    	2719.80005    
661.0000      	15128.5930    	2734.60010    
662.0000      	15105.7402    	2751.39990    
663.0000      	15082.9563    	2729.19995    
