Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:26:09

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
332.0000      	30120.4819    	2700.39990    
333.0000      	30030.0300    	2735.19995    
334.0000      	29940.1198    	2681.80005    
335.0000      	29850.7463    	2691.30005    
336.0000      	29761.9048    	2702.10010    
337.0000      	29673.5905    	2679.30005    
338.0000      	29585.7988    	2681.89990    
339.0000      	29498.5251    	2675.80005    
340.0000      	29411.7647    	2710.30005    
341.0000      	29325.5132    	2684.60010    
342.0000      	29239.7661    	2685.39990    
343.0000      	29154.5190    	2704.10010    
344.0000      	29069.7674    	2712.00000    
345.0000      	28985.5072    	2705.19995    
346.0000      	28901.7341    	2673.00000    
347.0000      	28818.4438    	2692.50000    
348.0000      	28735.6322    	2707.80005    
349.0000      	28653.2951    	2721.39990    
350.0000      	28571.4286    	2686.10010    
351.0000      	28490.0285    	2718.00000    
352.0000      	28409.0909    	2831.89990    
353.0000      	28328.6119    	2817.50000    
354.0000      	28248.5876    	2696.30005    
355.0000      	28169.0141    	2705.19995    
356.0000      	28089.8876    	2681.50000    
357.0000      	28011.2045    	2712.30005    
358.0000      	27932.9609    	2711.00000    
359.0000      	27855.1532    	2721.19995    
360.0000      	27777.7778    	3110.39990    
361.0000      	27700.8310    	2763.89990    
362.0000      	27624.3094    	2742.69995    
363.0000      	27548.2094    	2705.30005    
364.0000      	27472.5275    	2808.10010    
365.0000      	27397.2603    	2713.60010    
366.0000      	27322.4044    	2698.19995    
367.0000      	27247.9564    	2679.10010    
368.0000      	27173.9130    	2688.60010    
369.0000      	27100.2710    	2799.60010    
370.0000      	27027.0270    	2765.39990    
371.0000      	26954.1779    	2888.89990    
372.0000      	26881.7204    	2728.60010    
373.0000      	26809.6515    	2697.89990    
374.0000      	26737.9679    	2734.19995    
375.0000      	26666.6667    	2694.10010    
376.0000      	26595.7447    	2719.39990    
377.0000      	26525.1989    	2677.69995    
378.0000      	26455.0265    	2674.69995    
379.0000      	26385.2243    	2704.80005    
380.0000      	26315.7895    	2677.50000    
381.0000      	26246.7192    	2710.50000    
382.0000      	26178.0105    	2789.39990    
383.0000      	26109.6606    	3055.80005    
384.0000      	26041.6667    	2716.19995    
385.0000      	25974.0260    	2691.50000    
386.0000      	25906.7358    	2700.69995    
387.0000      	25839.7933    	2800.50000    
388.0000      	25773.1959    	2827.19995    
389.0000      	25706.9409    	3875.69995    
390.0000      	25641.0256    	4508.20020    
391.0000      	25575.4476    	2764.80005    
392.0000      	25510.2041    	2694.39990    
393.0000      	25445.2926    	2711.89990    
394.0000      	25380.7107    	2702.50000    
395.0000      	25316.4557    	2707.80005    
396.0000      	25252.5253    	2696.00000    
397.0000      	25188.9169    	3207.50000    
398.0000      	25125.6281    	2757.39990    
399.0000      	25062.6566    	2679.00000    
400.0000      	25000.0000    	2725.19995    
401.0000      	24937.6559    	2743.80005    
402.0000      	24875.6219    	2751.19995    
403.0000      	24813.8958    	4777.00000    
404.0000      	24752.4752    	3108.50000    
405.0000      	24691.3580    	2725.60010    
406.0000      	24630.5419    	2787.30005    
407.0000      	24570.0246    	2709.80005    
408.0000      	24509.8039    	2688.39990    
409.0000      	24449.8778    	2716.00000    
410.0000      	24390.2439    	2706.30005    
411.0000      	24330.9002    	2716.50000    
412.0000      	24271.8447    	2780.60010    
413.0000      	24213.0751    	3595.69995    
414.0000      	24154.5894    	2708.89990    
415.0000      	24096.3855    	2928.39990    
416.0000      	24038.4615    	2726.80005    
417.0000      	23980.8153    	2747.30005    
418.0000      	23923.4450    	2765.00000    
419.0000      	23866.3484    	2729.10010    
420.0000      	23809.5238    	2728.00000    
421.0000      	23752.9691    	2722.69995    
422.0000      	23696.6825    	2722.89990    
423.0000      	23640.6619    	2710.50000    
424.0000      	23584.9057    	2745.00000    
425.0000      	23529.4118    	2784.19995    
426.0000      	23474.1784    	2721.19995    
427.0000      	23419.2037    	2778.89990    
428.0000      	23364.4860    	2914.50000    
429.0000      	23310.0233    	2782.80005    
430.0000      	23255.8140    	2776.19995    
431.0000      	23201.8561    	2801.10010    
432.0000      	23148.1481    	2798.00000    
433.0000      	23094.6882    	2813.69995    
434.0000      	23041.4747    	2893.60010    
435.0000      	22988.5057    	2879.30005    
436.0000      	22935.7798    	2960.10010    
437.0000      	22883.2952    	3250.89990    
438.0000      	22831.0502    	2902.50000    
439.0000      	22779.0433    	3076.10010    
440.0000      	22727.2727    	3354.10010    
441.0000      	22675.7370    	2980.30005    
442.0000      	22624.4344    	3031.50000    
443.0000      	22573.3634    	3382.19995    
444.0000      	22522.5225    	3447.69995    
445.0000      	22471.9101    	3162.39990    
446.0000      	22421.5247    	3200.19995    
447.0000      	22371.3647    	3572.50000    
448.0000      	22321.4286    	19840.00000   
449.0000      	22271.7149    	3369.80005    
450.0000      	22222.2222    	3166.69995    
451.0000      	22172.9490    	3091.19995    
452.0000      	22123.8938    	3082.69995    
453.0000      	22075.0552    	3035.39990    
454.0000      	22026.4317    	3297.19995    
455.0000      	21978.0220    	3143.19995    
456.0000      	21929.8246    	2977.10010    
457.0000      	21881.8381    	2979.10010    
458.0000      	21834.0611    	3108.89990    
459.0000      	21786.4924    	3094.50000    
460.0000      	21739.1304    	2939.10010    
461.0000      	21691.9740    	2914.19995    
462.0000      	21645.0216    	2988.50000    
463.0000      	21598.2721    	2912.39990    
464.0000      	21551.7241    	2918.50000    
465.0000      	21505.3763    	2979.60010    
466.0000      	21459.2275    	2907.19995    
467.0000      	21413.2762    	2919.50000    
468.0000      	21367.5214    	2879.60010    
469.0000      	21321.9616    	2951.89990    
470.0000      	21276.5957    	2895.19995    
471.0000      	21231.4225    	3801.39990    
472.0000      	21186.4407    	12729.29980   
473.0000      	21141.6490    	3892.19995    
474.0000      	21097.0464    	2826.89990    
475.0000      	21052.6316    	2851.19995    
476.0000      	21008.4034    	3617.60010    
477.0000      	20964.3606    	2815.00000    
478.0000      	20920.5021    	2803.50000    
479.0000      	20876.8267    	2856.39990    
480.0000      	20833.3333    	3032.80005    
481.0000      	20790.0208    	2856.19995    
