Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1114 	654.8412      	15270.8782    	3430    
1115 	655.3379      	15259.3039    	3432    
1116 	655.8347      	15247.7456    	3384    
1117 	656.3314      	15236.2049    	3354    
1118 	656.8283      	15224.6788    	3397    
1119 	657.3252      	15213.1701    	3374    
1120 	657.8221      	15201.6774    	3386    
1121 	658.3191      	15190.2020    	3392    
1122 	658.8162      	15178.7412    	3348    
1123 	659.3132      	15167.2976    	3434    
1124 	659.8104      	15155.8699    	3409    
1125 	660.3075      	15144.4593    	3403    
1126 	660.8047      	15133.0632    	3400    
1127 	661.3020      	15121.6841    	3356    
1128 	661.7993      	15110.3208    	3366    
1129 	662.2966      	15098.9746    	3405    
1130 	662.7941      	15087.6426    	3398    
1131 	663.2915      	15076.3276    	3337    
1132 	663.7890      	15065.0282    	3407    
1133 	664.2865      	15053.7457    	3403    
1134 	664.7841      	15042.4773    	3392    
1135 	665.2817      	15031.2258    	3417    
1136 	665.7794      	15019.9897    	3429    
1137 	666.2771      	15008.7704    	3432    
1138 	666.7749      	14997.5651    	3461    
1139 	667.2727      	14986.3765    	3416    
1140 	667.7706      	14975.2033    	3372    
1141 	668.2684      	14964.0466    	3412    
1142 	668.7664      	14952.9039    	3393    
1143 	669.2644      	14941.7778    	3322    
1144 	669.7625      	14930.6668    	3448    
1145 	670.2605      	14919.5724    	3384    
1146 	670.7587      	14908.4917    	3291    
1147 	671.2568      	14897.4274    	3389    
1148 	671.7551      	14886.3782    	3418    
1149 	672.2533      	14875.3454    	3495    
1150 	672.7516      	14864.3263    	3455    
1151 	673.2500      	14853.3234    	3373    
1152 	673.7484      	14842.3355    	3417    
1153 	674.2469      	14831.3625    	3361    
1154 	674.7454      	14820.4057    	3463    
1155 	675.2439      	14809.4637    	3452    
1156 	675.7425      	14798.5366    	3420    
1157 	676.2411      	14787.6255    	3435    
1158 	676.7398      	14776.7279    	3445    
1159 	677.2385      	14765.8463    	3416    
1160 	677.7373      	14754.9794    	3357    
1161 	678.2361      	14744.1285    	3464    
1162 	678.7350      	14733.2909    	3490    
1163 	679.2339      	14722.4692    	3426    
1164 	679.7328      	14711.6621    	3457    
1165 	680.2318      	14700.8708    	3537    
1166 	680.7309      	14690.0928    	3389    
1167 	681.2300      	14679.3305    	3392    
1168 	681.7291      	14668.5826    	3425    
1169 	682.2283      	14657.8505    	3498    
1170 	682.7275      	14647.1314    	3387    
1171 	683.2268      	14636.4281    	3466    
1172 	683.7261      	14625.7403    	3432    
1173 	684.2255      	14615.0655    	3508    
1174 	684.7249      	14604.4064    	3540    
1175 	685.2243      	14593.7614    	3568    
1176 	685.7238      	14583.1307    	3514    
1177 	686.2234      	14572.5141    	3557    
1178 	686.7230      	14561.9130    	3485    
1179 	687.2226      	14551.3260    	3485    
1180 	687.7223      	14540.7531    	3510    
1181 	688.2220      	14530.1955    	3544    
1182 	688.7218      	14519.6507    	3431    
1183 	689.2216      	14509.1212    	3539    
1184 	689.7214      	14498.6070    	3521    
1185 	690.2214      	14488.1054    	3416    
1186 	690.7213      	14477.6190    	3548    
1187 	691.2213      	14467.1465    	3481    
1188 	691.7214      	14456.6879    	3444    
1189 	692.2214      	14446.2443    	3542    
1190 	692.7216      	14435.8146    	3465    
1191 	693.2217      	14425.3987    	3536    
1192 	693.7220      	14414.9965    	3542    
1193 	694.2222      	14404.6093    	3540    
1194 	694.7226      	14394.2346    	3545    
1195 	695.2230      	14383.8747    	3497    
1196 	695.7233      	14373.5298    	3520    
1197 	696.2238      	14363.1973    	3574    
1198 	696.7243      	14352.8795    	3565    
1199 	697.2249      	14342.5754    	3553    
1200 	697.7254      	14332.2860    	3545    
1201 	698.2261      	14322.0088    	3585    
1202 	698.7267      	14311.7464    	3476    
1203 	699.2275      	14301.4975    	3557    
1204 	699.7282      	14291.2632    	3500    
1205 	700.2290      	14281.0423    	3484    
1206 	700.7299      	14270.8335    	3547    
1207 	701.2308      	14260.6405    	3563    
1208 	701.7318      	14250.4597    	3521    
1209 	702.2327      	14240.2933    	3505    
1210 	702.7338      	14230.1402    	3476    
1211 	703.2349      	14220.0003    	3582    
1212 	703.7360      	14209.8737    	3609    
1213 	704.2372      	14199.7615    	3598    
1214 	704.7384      	14189.6624    	3587    
1215 	705.2396      	14179.5776    	3480    
1216 	705.7410      	14169.5048    	3561    
1217 	706.2423      	14159.4462    	3479    
1218 	706.7437      	14149.4007    	3461    
1219 	707.2452      	14139.3682    	3539    
1220 	707.7466      	14129.3500    	3557    
1221 	708.2482      	14119.3447    	3508    
1222 	708.7498      	14109.3523    	3539    
1223 	709.2514      	14099.3729    	3585    
1224 	709.7531      	14089.4075    	3537    
1225 	710.2548      	14079.4551    	3544    
1226 	710.7565      	14069.5155    	3604    
1227 	711.2584      	14059.5887    	3561    
1228 	711.7602      	14049.6759    	3593    
1229 	712.2621      	14039.7758    	3613    
1230 	712.7640      	14029.8885    	3540    
1231 	713.2660      	14020.0151    	3554    
1232 	713.7681      	14010.1533    	3582    
1233 	714.2701      	14000.3052    	3532    
1234 	714.7722      	13990.4710    	3592    
1235 	715.2744      	13980.6483    	3554    
1236 	715.7766      	13970.8393    	3595    
1237 	716.2789      	13961.0429    	3578    
1238 	716.7812      	13951.2590    	3416    
1239 	717.2835      	13941.4888    	3465    
1240 	717.7859      	13931.7311    	3581    
1241 	718.2883      	13921.9859    	3511    
1242 	718.7908      	13912.2531    	3542    
1243 	719.2933      	13902.5339    	3574    
1244 	719.7959      	13892.8271    	3526    
1245 	720.2985      	13883.1327    	3634    
1246 	720.8012      	13873.4507    	3570    
1247 	721.3039      	13863.7821    	3517    
1248 	721.8066      	13854.1258    	3459    
1249 	722.3094      	13844.4818    	3561    
1250 	722.8123      	13834.8512    	3520    
1251 	723.3151      	13825.2328    	3448    
1252 	723.8181      	13815.6267    	3576    
1253 	724.3210      	13806.0327    	3589    
1254 	724.8240      	13796.4520    	3532    
1255 	725.3271      	13786.8823    	3456    
1256 	725.8302      	13777.3270    	3478    
1257 	726.3334      	13767.7826    	3525    
1258 	726.8365      	13758.2515    	3567    
1259 	727.3398      	13748.7312    	3488    
1260 	727.8431      	13739.2252    	3581    
1261 	728.3464      	13729.7301    	3532    
1262 	728.8498      	13720.2481    	3497    
1263 	729.3532      	13710.7781    	3555    
1264 	729.8567      	13701.3199    	3528    
1265 	730.3602      	13691.8748    	3532    
1266 	730.8638      	13682.4404    	3487    
1267 	731.3674      	13673.0191    	3471    
1268 	731.8710      	13663.6106    	3548    
1269 	732.3747      	13654.2129    	3520    
1270 	732.8784      	13644.8281    	3530    
1271 	733.3822      	13635.4550    	3473    
1272 	733.8860      	13626.0948    	3543    
1273 	734.3899      	13616.7451    	3534    
1274 	734.8938      	13607.4083    	3552    
1275 	735.3977      	13598.0843    	3450    
1276 	735.9017      	13588.7708    	3440    
1277 	736.4058      	13579.4701    	3523    
1278 	736.9099      	13570.1809    	3490    
1279 	737.4140      	13560.9033    	3501    
1280 	737.9182      	13551.6385    	3429    
1281 	738.4224      	13542.3851    	3500    
1282 	738.9266      	13533.1432    	3570    
1283 	739.4310      	13523.9129    	3537    
1284 	739.9353      	13514.6951    	3637    
1285 	740.4397      	13505.4887    	3497    
1286 	740.9442      	13496.2938    	3575    
1287 	741.4487      	13487.1103    	3587    
1288 	741.9532      	13477.9393    	3589    
1289 	742.4578      	13468.7796    	3555    
1290 	742.9624      	13459.6313    	3568    
1291 	743.4670      	13450.4954    	3566    
1292 	743.9717      	13441.3708    	3540    
1293 	744.4765      	13432.2574    	3572    
1294 	744.9813      	13423.1553    	3521    
1295 	745.4861      	13414.0655    	3518    
1296 	745.9910      	13404.9870    	3498    
1297 	746.4960      	13395.9196    	3501    
1298 	747.0010      	13386.8634    	3578    
1299 	747.5060      	13377.8194    	3634    
1300 	748.0110      	13368.7865    	3653    
1301 	748.5161      	13359.7658    	3586    
1302 	749.0213      	13350.7552    	3545    
1303 	749.5265      	13341.7566    	3542    
1304 	750.0317      	13332.7691    	3578    
1305 	750.5370      	13323.7926    	3526    
1306 	751.0424      	13314.8282    	3589    
1307 	751.5477      	13305.8748    	3668    
1308 	752.0532      	13296.9323    	3672    
1309 	752.5586      	13288.0019    	3685    
1310 	753.0641      	13279.0823    	3736    
1311 	753.5696      	13270.1737    	3808    
1312 	754.0753      	13261.2759    	3722    
1313 	754.5809      	13252.3889    	3760    
1314 	755.0866      	13243.5139    	3741    
1315 	755.5923      	13234.6497    	3640    
1316 	756.0981      	13225.7973    	3715    
1317 	756.6039      	13216.9557    	3658    
1318 	757.1097      	13208.1249    	3712    
1319 	757.6157      	13199.3047    	3767    
1320 	758.1216      	13190.4953    	3745    
1321 	758.6276      	13181.6977    	3842    
1322 	759.1337      	13172.9107    	3929    
1323 	759.6397      	13164.1354    	3922    
1324 	760.1459      	13155.3697    	3780    
1325 	760.6520      	13146.6157    	3750    
1326 	761.1583      	13137.8722    	3780    
1327 	761.6645      	13129.1404    	3970    
1328 	762.1708      	13120.4191    	3931    
1329 	762.6771      	13111.7083    	3976    
1330 	763.1835      	13103.0081    	3932    
1331 	763.6900      	13094.3183    	3930    
1332 	764.1965      	13085.6401    	3982    
1333 	764.7030      	13076.9723    	4083    
1334 	765.2095      	13068.3160    	4145    
1335 	765.7161      	13059.6701    	4205    
1336 	766.2228      	13051.0336    	4357    
1337 	766.7295      	13042.4095    	4389    
1338 	767.2363      	13033.7947    	4401    
