Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1999 	1111.3729     	8997.8798     	3220    
2000 	1111.9067     	8993.5600     	3219    
2001 	1112.4407     	8989.2434     	3110    
2002 	1112.9746     	8984.9309     	3084    
2003 	1113.5085     	8980.6226     	3142    
2004 	1114.0426     	8976.3174     	3120    
2005 	1114.5767     	8972.0163     	3156    
2006 	1115.1107     	8967.7194     	3125    
2007 	1115.6448     	8963.4265     	3044    
2008 	1116.1790     	8959.1368     	3100    
2009 	1116.7131     	8954.8512     	3154    
2010 	1117.2473     	8950.5697     	3106    
2011 	1117.7816     	8946.2913     	3123    
2012 	1118.3159     	8942.0170     	3013    
2013 	1118.8503     	8937.7459     	3088    
2014 	1119.3846     	8933.4797     	2982    
2015 	1119.9191     	8929.2167     	3053    
2016 	1120.4535     	8924.9577     	3080    
2017 	1120.9880     	8920.7018     	3013    
2018 	1121.5226     	8916.4500     	3021    
2019 	1122.0571     	8912.2022     	3067    
2020 	1122.5918     	8907.9575     	3070    
2021 	1123.1263     	8903.7178     	2984    
2022 	1123.6610     	8899.4812     	2972    
2023 	1124.1958     	8895.2476     	2993    
2024 	1124.7306     	8891.0181     	2904    
2025 	1125.2654     	8886.7925     	3008    
2026 	1125.8002     	8882.5710     	2946    
2027 	1126.3351     	8878.3526     	2964    
2028 	1126.8700     	8874.1381     	3034    
2029 	1127.4049     	8869.9277     	2974    
2030 	1127.9399     	8865.7203     	3073    
2031 	1128.4749     	8861.5178     	2985    
2032 	1129.0100     	8857.3174     	2913    
2033 	1129.5450     	8853.1219     	2939    
2034 	1130.0802     	8848.9295     	2888    
2035 	1130.6154     	8844.7410     	2976    
2036 	1131.1506     	8840.5555     	2940    
2037 	1131.6858     	8836.3750     	2877    
2038 	1132.2211     	8832.1974     	3045    
2039 	1132.7565     	8828.0229     	3037    
2040 	1133.2917     	8823.8532     	3000    
2041 	1133.8271     	8819.6865     	3034    
2042 	1134.3627     	8815.5228     	2884    
2043 	1134.8981     	8811.3640     	2931    
2044 	1135.4336     	8807.2081     	2932    
2045 	1135.9691     	8803.0562     	2992    
2046 	1136.5048     	8798.9073     	2970    
2047 	1137.0404     	8794.7622     	2945    
2048 	1137.5760     	8790.6211     	2920    
