Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
892  	545.7272      	18324.1746    	2821    
893  	546.2134      	18307.8615    	2795    
894  	546.6998      	18291.5753    	2823    
895  	547.1861      	18275.3182    	2812    
896  	547.6725      	18259.0858    	2883    
897  	548.1590      	18242.8822    	2797    
898  	548.6455      	18226.7053    	2833    
899  	549.1321      	18210.5551    	2791    
900  	549.6187      	18194.4335    	2773    
901  	550.1053      	18178.3363    	2757    
902  	550.5920      	18162.2676    	2747    
903  	551.0788      	18146.2253    	2751    
904  	551.5656      	18130.2093    	2815    
905  	552.0524      	18114.2215    	2828    
906  	552.5393      	18098.2599    	2807    
907  	553.0262      	18082.3245    	2767    
908  	553.5132      	18066.4150    	2818    
909  	554.0003      	18050.5316    	2827    
910  	554.4874      	18034.6760    	2863    
911  	554.9745      	18018.8443    	2871    
912  	555.4617      	18003.0404    	2797    
913  	555.9489      	17987.2642    	2853    
914  	556.4362      	17971.5117    	2799    
915  	556.9235      	17955.7867    	2805    
916  	557.4109      	17940.0873    	2782    
917  	557.8983      	17924.4133    	2821    
918  	558.3858      	17908.7648    	2837    
919  	558.8733      	17893.1435    	2703    
920  	559.3609      	17877.5456    	2781    
921  	559.8485      	17861.9748    	2780    
922  	560.3362      	17846.4292    	2811    
923  	560.8239      	17830.9106    	2761    
924  	561.3116      	17815.4152    	2729    
925  	561.7994      	17799.9466    	2762    
926  	562.2873      	17784.5029    	2773    
927  	562.7751      	17769.0860    	2799    
928  	563.2631      	17753.6920    	2831    
929  	563.7511      	17738.3246    	2723    
930  	564.2391      	17722.9819    	2789    
931  	564.7272      	17707.6638    	2773    
932  	565.2154      	17692.3702    	2691    
933  	565.7036      	17677.1031    	2855    
934  	566.1918      	17661.8603    	2788    
935  	566.6801      	17646.6419    	2759    
936  	567.1684      	17631.4479    	2783    
937  	567.6568      	17616.2780    	2871    
938  	568.1452      	17601.1343    	2705    
939  	568.6337      	17586.0147    	2795    
940  	569.1222      	17570.9191    	2830    
941  	569.6108      	17555.8476    	2767    
942  	570.0994      	17540.8018    	2763    
943  	570.5880      	17525.7800    	2811    
944  	571.0768      	17510.7802    	2853    
945  	571.5655      	17495.8079    	2798    
946  	572.0543      	17480.8574    	2785    
947  	572.5432      	17465.9324    	2827    
948  	573.0320      	17451.0311    	2753    
949  	573.5210      	17436.1533    	2753    
950  	574.0100      	17421.2990    	2801    
951  	574.4990      	17406.4700    	2819    
952  	574.9882      	17391.6625    	2895    
953  	575.4773      	17376.8802    	2869    
954  	575.9664      	17362.1230    	2794    
955  	576.4557      	17347.3871    	2780    
956  	576.9449      	17332.6763    	2787    
957  	577.4343      	17317.9867    	2757    
958  	577.9236      	17303.3239    	2787    
959  	578.4131      	17288.6822    	2789    
960  	578.9026      	17274.0634    	2791    
961  	579.3921      	17259.4693    	2843    
962  	579.8817      	17244.8981    	2815    
963  	580.3713      	17230.3496    	2765    
964  	580.8609      	17215.8257    	2827    
965  	581.3506      	17201.3226    	2759    
966  	581.8404      	17186.8439    	2739    
967  	582.3302      	17172.3878    	2865    
968  	582.8200      	17157.9559    	2787    
969  	583.3099      	17143.5448    	2815    
970  	583.7999      	17129.1578    	2767    
971  	584.2899      	17114.7931    	2807    
972  	584.7799      	17100.4507    	2807    
973  	585.2700      	17086.1324    	2789    
974  	585.7601      	17071.8345    	2767    
975  	586.2503      	17057.5604    	2819    
976  	586.7405      	17043.3102    	2795    
977  	587.2308      	17029.0803    	2787    
978  	587.7211      	17014.8723    	2815    
979  	588.2115      	17000.6881    	2767    
980  	588.7019      	16986.5257    	2757    
981  	589.1923      	16972.3868    	2758    
982  	589.6829      	16958.2680    	2839    
983  	590.1734      	16944.1727    	2807    
984  	590.6640      	16930.0990    	2731    
985  	591.1547      	16916.0469    	2813    
986  	591.6454      	16902.0164    	2807    
987  	592.1361      	16888.0091    	2779    
988  	592.6269      	16874.0233    	2762    
989  	593.1177      	16860.0589    	2797    
990  	593.6086      	16846.1159    	2818    
991  	594.0995      	16832.1959    	2791    
992  	594.5906      	16818.2955    	2746    
993  	595.0816      	16804.4180    	2823    
994  	595.5727      	16790.5616    	2733    
995  	596.0638      	16776.7281    	2859    
996  	596.5549      	16762.9157    	2785    
997  	597.0462      	16749.1225    	2839    
998  	597.5374      	16735.3537    	2771    
999  	598.0287      	16721.6042    	2789    
1000 	598.5201      	16707.8772    	2759    
1001 	599.0115      	16694.1693    	2781    
1002 	599.5030      	16680.4839    	2653    
1003 	599.9944      	16666.8210    	2823    
1004 	600.4860      	16653.1770    	2783    
1005 	600.9776      	16639.5553    	2798    
1006 	601.4692      	16625.9542    	2807    
1007 	601.9609      	16612.3736    	2777    
1008 	602.4527      	16598.8135    	2787    
1009 	602.9445      	16585.2756    	2789    
1010 	603.4363      	16571.7580    	2777    
1011 	603.9282      	16558.2608    	2770    
1012 	604.4201      	16544.7839    	2782    
1013 	604.9120      	16531.3289    	2743    
1014 	605.4041      	16517.8940    	2791    
1015 	605.8961      	16504.4794    	2803    
1016 	606.3882      	16491.0849    	2782    
1017 	606.8804      	16477.7120    	2775    
1018 	607.3726      	16464.3576    	2807    
1019 	607.8649      	16451.0248    	2807    
1020 	608.3572      	16437.7119    	2849    
1021 	608.8495      	16424.4205    	2755    
1022 	609.3419      	16411.1490    	2763    
1023 	609.8344      	16397.8956    	2844    
1024 	610.3268      	16384.6652    	2754    
1025 	610.8193      	16371.4529    	2847    
1026 	611.3120      	16358.2603    	2845    
1027 	611.8046      	16345.0889    	2778    
1028 	612.2972      	16331.9371    	2776    
1029 	612.7899      	16318.8064    	2743    
1030 	613.2827      	16305.6935    	2777    
1031 	613.7755      	16292.6018    	2807    
1032 	614.2684      	16279.5294    	2813    
1033 	614.7613      	16266.4763    	2774    
1034 	615.2542      	16253.4442    	2829    
1035 	615.7473      	16240.4297    	2787    
1036 	616.2403      	16227.4361    	2869    
1037 	616.7334      	16214.4616    	2815    
1038 	617.2265      	16201.5078    	2777    
1039 	617.7197      	16188.5716    	2732    
1040 	618.2130      	16175.6559    	2780    
1041 	618.7062      	16162.7593    	2799    
1042 	619.1995      	16149.8832    	2721    
1043 	619.6929      	16137.0245    	2703    
1044 	620.1863      	16124.1862    	2679    
1045 	620.6798      	16111.3667    	2719    
1046 	621.1733      	16098.5660    	2779    
1047 	621.6669      	16085.7856    	2755    
1048 	622.1605      	16073.0240    	2762    
1049 	622.6541      	16060.2809    	2781    
1050 	623.1478      	16047.5566    	2781    
1051 	623.6416      	16034.8507    	2795    
1052 	624.1354      	16022.1650    	2869    
1053 	624.6292      	16009.4978    	2859    
1054 	625.1231      	15996.8491    	2767    
1055 	625.6171      	15984.2187    	2803    
1056 	626.1110      	15971.6083    	2853    
1057 	626.6050      	15959.0162    	2806    
1058 	627.0991      	15946.4424    	2779    
1059 	627.5933      	15933.8868    	2791    
1060 	628.0874      	15921.3510    	2803    
1061 	628.5816      	15908.8334    	2767    
1062 	629.0759      	15896.3339    	2798    
1063 	629.5702      	15883.8524    	2789    
1064 	630.0645      	15871.3906    	2755    
1065 	630.5590      	15858.9452    	2767    
1066 	631.0534      	15846.5193    	2879    
1067 	631.5479      	15834.1129    	2859    
1068 	632.0424      	15821.7229    	2835    
1069 	632.5370      	15809.3522    	2844    
1070 	633.0316      	15796.9993    	2821    
1071 	633.5263      	15784.6642    	2722    
1072 	634.0210      	15772.3483    	2750    
1073 	634.5158      	15760.0486    	2743    
1074 	635.0106      	15747.7681    	2781    
1075 	635.5055      	15735.5052    	2837    
1076 	636.0004      	15723.2614    	2789    
1077 	636.4953      	15711.0351    	2846    
1078 	636.9904      	15698.8248    	2810    
1079 	637.4854      	15686.6350    	2823    
1080 	637.9805      	15674.4610    	2802    
1081 	638.4756      	15662.3060    	2801    
1082 	638.9708      	15650.1668    	2772    
1083 	639.4660      	15638.0479    	2772    
